State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,American Indian and Alaska Native,Asian,Black or African-American,Hispanic or Latino,White
AK,32.2,51.2,48.8,0.3,9.2,11.1,2.77,12.2,12.3,7.7,9.1,71.2
AL,36.23,47.4,52.6,0.8999999999999999,6.800000000000001,5.0,2.43,0.8,2.7,49.6,3.6999999999999997,47.5
AR,32.77,48.6,51.4,0.5,5.4,10.5,2.53,1.6,3.6999999999999997,25.4,13.200000000000001,65.2
AZ,35.04,49.5,50.5,3.9,5.8999999999999995,15.2,2.77,2.9000000000000004,5.1,6.6000000000000005,33.5,79.80000000000001
CA,36.18,49.5,50.5,21.5,3.6999999999999997,30.0,3.1,1.6,18.3,8.200000000000001,39.7,60.0
CO,35.82,49.5,50.5,2.5,6.4,11.5,2.56,2.1,5.1,7.1,24.0,83.89999999999999
CT,34.96,48.8,51.2,0.8,2.8000000000000003,25.5,2.66,1.2,5.5,26.200000000000003,35.0,57.099999999999994
DC,33.8,47.599999999999994,52.400000000000006,0.6,3.9,14.099999999999998,2.24,0.8999999999999999,5.2,48.9,10.6,42.5
DE,36.4,45.4,54.6,0.1,4.3,4.6,2.45,0.6,1.7000000000000002,61.4,7.7,33.0
FL,39.01,48.1,51.9,5.800000000000001,5.5,25.1,2.78,0.7000000000000001,3.9,24.6,28.9,69.69999999999999
GA,33.81,47.9,52.1,1.5,6.1,8.6,2.55,0.8999999999999999,5.5,45.5,6.7,48.5
HI,41.4,50.1,49.9,0.3,6.6000000000000005,28.7,2.69,1.6,68.30000000000001,3.3000000000000003,7.000000000000001,31.3
IA,32.27,49.2,50.8,0.6,5.4,8.7,2.38,1.2,5.8999999999999995,10.2,9.1,83.2
ID,34.77,49.9,50.1,0.3,6.6000000000000005,7.1,2.71,1.7000000000000002,3.5000000000000004,2.0,12.1,92.80000000000001
IL,35.85,48.6,51.4,3.9,3.2,20.599999999999998,2.72,0.8,8.200000000000001,24.8,26.6,57.4
IN,33.83,48.4,51.6,1.6,4.9,7.8,2.48,0.8999999999999999,4.1000000000000005,24.5,9.4,70.6
KS,34.83,49.1,50.9,1.0,5.6000000000000005,10.299999999999999,2.59,2.1,6.0,12.3,14.399999999999999,80.7
KY,35.95,48.699999999999996,51.300000000000004,0.8,6.0,7.199999999999999,2.4,0.8,3.5000000000000004,21.8,5.4,75.9
LA,34.62,48.199999999999996,51.800000000000004,1.0999999999999999,5.4,6.4,2.47,0.6,3.0,46.300000000000004,6.7,50.3
MA,35.48,48.4,51.6,1.7000000000000002,3.3000000000000003,25.8,2.57,0.8,10.8,18.8,21.5,63.2
MD,36.37,47.9,52.1,1.0999999999999999,4.9,17.5,2.66,1.2,9.8,43.7,10.6,45.300000000000004
ME,40.3,47.099999999999994,52.900000000000006,0.1,5.5,13.8,2.13,1.0,5.5,8.6,3.0,89.3
MI,37.04,47.9,52.1,1.9,4.5,11.3,2.51,1.3,5.7,38.800000000000004,6.800000000000001,55.1
MN,35.62,49.4,50.6,1.2,4.6,15.2,2.5,1.7999999999999998,10.7,15.2,7.3,73.8
MO,34.87,48.3,51.7,1.3,6.0,6.5,2.41,1.2,3.5999999999999996,23.7,6.5,71.5
MS,33.4,46.2,53.800000000000004,0.2,6.1,2.0,2.6,0.1,1.0999999999999999,69.0,3.0,29.5
MT,35.5,48.4,51.6,0.2,7.6,3.3000000000000003,2.28,5.3,2.3,1.7999999999999998,5.5,93.2
NC,33.79,47.9,52.1,2.6,5.4,12.4,2.48,1.2,5.800000000000001,33.6,11.600000000000001,58.5
ND,34.35,50.3,49.7,0.2,5.4,6.1,2.14,3.8,2.9000000000000004,4.3,2.8000000000000003,90.8
NE,33.25,49.5,50.5,0.6,5.4,9.9,2.44,1.5,4.7,11.200000000000001,11.600000000000001,83.2
NH,37.8,49.3,50.7,0.2,5.6000000000000005,13.700000000000001,2.43,0.6,7.1,5.6000000000000005,11.3,87.8
NJ,35.12,49.4,50.6,1.2,2.1,33.4,2.97,0.8,8.200000000000001,31.6,42.0,43.0
NM,37.78,48.699999999999996,51.300000000000004,0.7000000000000001,7.199999999999999,10.6,2.58,5.1,3.9,4.3,49.7,77.7
NV,36.09,49.9,50.1,1.9,6.800000000000001,21.5,2.81,1.6,11.4,12.0,30.8,68.4
NY,35.66,47.8,52.2,8.5,2.1,35.0,2.76,1.0999999999999999,14.000000000000002,26.5,27.800000000000004,46.400000000000006
OH,35.55,48.4,51.6,2.1,5.2,7.199999999999999,2.3,1.3,3.5000000000000004,36.1,6.800000000000001,61.3
OK,33.4,49.3,50.7,1.3,6.6000000000000005,10.4,2.6,8.6,4.9,15.8,15.1,74.9
OR,36.12,49.2,50.8,1.2,5.5,12.9,2.54,2.7,8.200000000000001,5.0,14.000000000000002,86.0
PA,34.11,48.0,52.0,2.0,4.5,12.5,2.5,1.4000000000000001,6.800000000000001,36.5,16.6,53.400000000000006
RI,37.9,49.0,51.0,0.4,4.5,21.099999999999998,2.52,1.5,5.8999999999999995,13.4,26.400000000000002,69.5
SC,34.18,48.9,51.1,0.5,6.3,5.2,2.47,0.7000000000000001,2.5,32.800000000000004,5.6000000000000005,64.4
SD,37.05,50.1,49.9,0.2,6.6000000000000005,6.2,2.34,5.6000000000000005,2.8000000000000003,5.4,5.0,87.0
TN,34.4,47.9,52.1,1.9,5.5,8.4,2.47,0.8,3.4000000000000004,37.7,7.8,58.199999999999996
TX,33.34,49.4,50.6,12.4,4.8,20.599999999999998,2.86,1.0999999999999999,6.5,14.899999999999999,44.1,73.5
UT,30.98,50.5,49.5,0.8999999999999999,3.8,12.6,3.18,1.7999999999999998,4.6,2.1,19.2,84.7
VA,34.43,49.1,50.9,2.0,9.700000000000001,11.4,2.58,1.0999999999999999,7.1,32.6,9.2,60.4
WA,35.29,49.8,50.2,2.1999999999999997,6.1,17.599999999999998,2.6,2.4,13.900000000000002,7.5,13.0,76.5
WI,33.51,48.699999999999996,51.300000000000004,1.2,4.3,8.799999999999999,2.42,1.7000000000000002,5.2,22.400000000000002,14.299999999999999,69.0
